date,headline,url
2026-05-28,"Dutch police arrest pair accused of violating Russia sanctions, raids two data centers",https://www.datacenterdynamics.com/en/news/dutch-police-arrest-pair-accused-of-violating-russia-sanctions-raids-two-data-centers/
2026-05-28,Zayo CEO: Crown Castle fiber assets sets us up to support growing AI demands,https://www.datacenterdynamics.com/en/news/zayo-ceo-crown-castle-fiber-acquisiit/
2026-05-28,"Kyivstar acquires six solar plants in Lviv, Ukraine",https://www.datacenterdynamics.com/en/news/kyivstar-acquires-six-solar-plants-in-lviv-ukraine/
2026-05-28,Elemental Impact launches intitiative with major hyperscalers to accelerate energy and materials technology development,https://www.datacenterdynamics.com/en/news/elemental-impact-launches-intitiative-with-major-hyperscalers-to-accelerate-energy-and-materials-technology-development/
2026-05-28,Applied Digital signs 430MW data center lease with unnamed hyperscaler,https://www.datacenterdynamics.com/en/news/applied-digital-signs-430mw-data-center-lease-with-unnamed-hyperscaler/
2026-05-28,"DartPoints acquires data center in Lexington, Kentucky",https://www.datacenterdynamics.com/en/news/dartpoints-acquires-data-center-in-lexington-kentucky/
2026-05-28,TeraWulf acquires site in Kentucky for 1GW data center campus,https://www.datacenterdynamics.com/en/news/terawulf-acquires-site-in-kentucky-for-1gw-data-center-campus/
2026-05-28,"Swiss-backed GreenSquareDC withdraws application for 120MW data center in Perth, Australia",https://www.datacenterdynamics.com/en/news/swiss-backed-greensquaredc-withdraws-application-for-120mw-data-center-in-perth-australia/
2026-05-28,"English data center planning applications doubled in 2025, FOI requests reveal",https://www.datacenterdynamics.com/en/news/england-data-center-planning-applications-doubled-in-2025-foi-requests-reveal/
2026-05-28,"Guofu, CEWA to explore hydrogen power deployment across Southeast Asia data centers",https://www.datacenterdynamics.com/en/news/guofu-cewa-to-explore-hydrogen-power-deployment-across-southeast-asia-data-centers/
2026-05-28,DigitalBridge to acquire energy investor ArcLight Capital for $1bn,https://www.datacenterdynamics.com/en/news/digitalbridge-to-acquire-energy-investor-arclight-capital-for-1bn/
2026-05-28,"25MW AI data center to be built in McMinnville, Tennessee",https://www.datacenterdynamics.com/en/news/25mw-ai-data-center-to-be-built-in-mcminnville-tennessee/
2026-05-28,Liquid cooling firm Accelsius appoints former Vertiv president John Hewitt as CEO,https://www.datacenterdynamics.com/en/news/liquid-cooling-firm-accelsius-appoints-former-vertiv-president-john-hewitt-as-ceo/
2026-05-28,Samsung Electronics to invest $1.5bn in chip testing plant in Vietnam - report,https://www.datacenterdynamics.com/en/news/samsung-electronics-to-invest-15bn-in-chip-testing-plant-in-vietnam-report/
2026-05-28,Soluna acquires remaining equity interest in 25MW Project Dorothy 1B for $8.8m,https://www.datacenterdynamics.com/en/news/soluna-acquires-remaining-equity-interest-in-25mw-project-dorothy-1b-for-88m/
2026-05-28,2G Energy secures multi-year containerized power systems deal for North American data center market,https://www.datacenterdynamics.com/en/news/2g-energy-secures-multi-year-containerized-power-systems-deal-for-north-american-data-center-market/
2026-05-28,Starlink secures American Airlines WiFi deal,https://www.datacenterdynamics.com/en/news/starlink-secures-american-airlines-wifi-deal/
2026-05-28,FuriosaAI partners with Broadcom for development of AI inference chips,https://www.datacenterdynamics.com/en/news/furiosaai-partners-with-broadcom-for-development-of-ai-inference-chips/
2026-05-28,Great Plains Communications scoops up Fastwyre's Nebraska business,https://www.datacenterdynamics.com/en/news/great-plains-communications-scoops-up-fastwyres-nebraska-business/
2026-05-28,"Bain-backed data center firm Hscale closes acquisition of another site outside Milan, Italy",https://www.datacenterdynamics.com/en/news/bain-backed-data-center-firm-hscale-closes-acquisition-of-another-site-outside-milan-italy/
2026-05-28,"Minneapolis City Council approves six-month moratorium for data centers larger than 350,000 sq ft",https://www.datacenterdynamics.com/en/news/minneapolis-city-council-approves-six-month-moratorium-for-data-centers-larger-than-350000-sq-ft/
2026-05-28,Core42 secures $550 million financing to fuel AI build-out in Europe & US,https://www.datacenterdynamics.com/en/news/core42-secures-550-million-financing-to-fuel-ai-build-out-in-europe-us/
