date,headline,summary,url,source,source_categories,tags
2026-06-18,The smartphone era created an attention crisis. Slowtech is fixing it,"“People just really want to take back control of their time, their lives, their attention... They’re down for whatever helps them do that.”",https://techcrunch.com/2026/06/18/the-smartphone-era-created-an-attention-crisis-slowtech-is-fixing-it/,TechCrunch AI,"artificial-intelligence,tech","AI,Hardware,austin murray,iPod,joy howard,screen time,slowtech,social media,Tony Fadell"
2026-06-18,"FreeBSD 15.1 lands, but desktop dabblers still have to draw their own GUI","Better laptop sleep and Wi-Fi support make the beastie more portable-friendly, but getting beyond the shell remains a DIY job",https://www.theregister.com/os-platforms/2026/06/18/freebsd-151-lands-but-desktop-dabblers-still-have-to-draw-their-own-gui/5257681,The Register,"datacenter,infrastructure",os platforms
2026-06-18,Google unveils new open-source liquid-to-air cooling sidecar for air-cooled environments,,https://www.datacenterdynamics.com/en/news/en/news/google-unveils-new-open-source-liquid-to-air-cooling-sidecar-for-air-cooled-environments/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,"Trump's DoJ urges judge to throw out xAI data center gas turbine suit, citing national security",,https://www.datacenterdynamics.com/en/news/en/news/trumps-doj-urges-judge-to-throw-out-xai-data-center-gas-turbine-suit-citing-national-security/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,"Frontier Airlines site leaks all personal info with just a glance at a boarding pass, researcher claims — booking number and last name nets you every passenger's personal info, including address, passport, TSA PreCheck, and most credit card info","Frontier Airlines site leaks all personal info with just a glance at a boarding pass — just a booking number and last name nets you all passengers' personal info including address, passport, TSA PreCheck, and most credit card info",https://www.tomshardware.com/tech-industry/cyber-security/frontier-airlines-site-leaks-all-personal-info-with-just-a-glance-at-a-boarding-pass-researcher-claims-booking-number-and-last-name-nets-you-every-passengers-personal-info-including-address-passport-tsa-precheck-and-most-credit-card-info,Tom's Hardware,"hardware,semiconductor","Cybersecurity,Tech Industry"
2026-06-18,"Digital entrepreneur creates humorous 'physical NFT minting device' using a Raspberry Pi in quest for 'infinite money machine' — contraption trained on M3 MacBook can generate an NFT in 3 seconds, has so far sold one for $9.92","An enterprising young man aims to catch up with the collective wealth of Elon Musk, and his first money spinner is a portable NFT minting gadget.",https://www.tomshardware.com/tech-industry/cryptocurrency/digital-entrepreneur-creates-humorous-physical-nft-minting-device-using-a-raspberry-pi-in-quest-for-infinite-money-machine-contraption-trained-on-m3-macbook-can-generate-an-nft-in-3-seconds-has-so-far-sold-one-for-usd9-92,Tom's Hardware,"hardware,semiconductor","Cryptocurrency,Tech Industry"
2026-06-18,"Chinese makers of DRAM modules, SSDs have a serious advantage over American and Taiwanese suppliers, says SMI SVP — state guidance secures local DRAM and SSD supply while the Big Three chase AI margins",CCP directives can be lifebuoy for Chinese producers of DRAM modules and solid-state drives as domestic memory makers may be obliged to support the module industry.,https://www.tomshardware.com/pc-components/ssds/chinese-makers-of-dram-modules-ssds-have-a-serious-advantage-over-american-and-taiwanese-suppliers-says-smi-svp-state-guidance-secures-local-dram-and-ssd-supply-while-the-big-three-chase-ai-margins,Tom's Hardware,"hardware,semiconductor","SSDs,PC Components,Storage"
2026-06-18,Trump says Apple has agreed to 'build' chips with Intel — neither company confirms deal as Intel share price rockets,President Donald Trump said on Thursday that Apple has agreed to work with Intel to “design and build” chips in the United States.,https://www.tomshardware.com/tech-industry/trump-says-apple-agreed-to-build-chips-with-intel,Tom's Hardware,"hardware,semiconductor",Tech Industry
2026-06-18,Apple CEO Tim Cook warns AI-driven price increases are unavoidable — says company is trying its best but 'the situation has become unsustainable',Apple's Tim Cook says that Apple can no longer 'shield' its customers from increased prices of DRAM and NAND memory.,https://www.tomshardware.com/laptops/apple-ceo-tim-cook-warns-ai-driven-price-increases-are-unavoidable-says-company-is-trying-its-best-but-the-situation-has-become-unsustainable,Tom's Hardware,"hardware,semiconductor",Laptops
2026-06-18,"‘Queer Eye’s’ life coach Karamo Brown launches Kē, a wellness app featuring his AI digital clone","Karamo Brown, famous for his pep talks on Netflix&#8217;s “Queer Eye,” has jumped into the wellness and AI space with his new app, Kē. After spending a year and a half focusing on his own journey—from fitness and nutrition to meditation, sobriety, relationships, and personal growth—Brown wants to help others do the same.&#160; Kē offers [&#8230;]",https://techcrunch.com/2026/06/18/queer-eyes-life-coach-karamo-brown-launches-ke-a-wellness-app-featuring-his-ai-digital-clone/,TechCrunch AI,"artificial-intelligence,tech","AI,Apps,Startups,AI chatbot,digital clone,fitness app,nutrition apps,wellness apps"
2026-06-18,"Retro pirate gets two-year suspended jail sentence for being stuck in the past, burning and selling remix CDs of famous artists — four-year investigation into copyright infringement on 40-year-old medium began in 2018","A UK man has been sentenced after pleading guilty to the unauthorized mixing and selling of music CDs, and thus breaking copyright laws. It is 2026.",https://www.tomshardware.com/pc-components/storage/retro-pirate-gets-two-year-suspended-jail-sentence-for-being-stuck-in-the-past-burning-and-selling-remix-cds-of-famous-artists-four-year-investigation-into-copyright-infringement-on-40-year-old-medium-began-in-2018,Tom's Hardware,"hardware,semiconductor","Storage,PC Components"
2026-06-18,Noctua NL-LC1-36 Review: Compromise paves the way,"We test Noctua’s first attempt at an all-in-one liquid cooler, focusing specifically on pump performance to determine whether Noctua’s AIO is truly a viable alternative to swapping the fans on another unit and the brand’s own legendary air cooler.",https://www.tomshardware.com/pc-components/liquid-cooling/noctua-nl-lc1-36-review,Tom's Hardware,"hardware,semiconductor","Liquid Cooling,PC Components,Cooling"
2026-06-18,Ditching the cloud for local AI — how I use two mini PCs to process millions of tokens a day and save money on costly API fees,"As new data center buildouts hit planning walls and AI inference providers hike costs, is the future of AI to roll your own models?",https://www.tomshardware.com/tech-industry/artificial-intelligence/ditching-the-cloud-for-local-ai-how-i-use-two-mini-pcs-to-process-millions-of-tokens-a-day-and-save-money-on-costly-api-fees,Tom's Hardware,"hardware,semiconductor","Artificial Intelligence,Tech Industry"
2026-06-18,"MSI's new Claw 8 EX AI+ handheld with an Intel Arc G3 Extreme and 32GB of RAM costs $1,799 — company says it'll be 'a tough year' with chances of 'another price hike'","MSI's new Arc G3 Extreme-based handheld costs nearly $2,000 but the company is rather apologetic about it, even if it's warning that the price may rise in the future.",https://www.tomshardware.com/video-games/handheld-gaming/msis-new-claw-8-ex-ai-handheld-with-an-intel-arc-g3-extreme-and-32gb-of-ram-costs-usd1-799-company-says-itll-be-a-tough-year-with-chances-of-another-price-hike,Tom's Hardware,"hardware,semiconductor","Handheld Gaming,Video Games,Console Gaming"
