date,headline,summary,url,source,source_categories,tags
2026-06-18,The smartphone era created an attention crisis. Slowtech is fixing it,"“People just really want to take back control of their time, their lives, their attention... They’re down for whatever helps them do that.”",https://techcrunch.com/2026/06/18/the-smartphone-era-created-an-attention-crisis-slowtech-is-fixing-it/,TechCrunch AI,"artificial-intelligence,tech","AI,Hardware,austin murray,iPod,joy howard,screen time,slowtech,social media,Tony Fadell"
2026-06-18,Kaspersky finds malware hidden in Steam Wallpaper Engine that hijacks accounts to spread itself — dozens of malicious packages downloaded tens of thousands of times,Attackers have spent the past several months smuggling malware into Steam through animated desktop wallpapers.,https://www.tomshardware.com/tech-industry/cyber-security/kaspersky-finds-malware-hidden-in-steam-wallpapers-that-hijacks-accounts-to-spread-itself,Tom's Hardware,"hardware,semiconductor","Cybersecurity,Tech Industry"
2026-06-18,Firmus targets 288MW data campus in Tasmania,,https://www.datacenterdynamics.com/en/news/en/news/firmus-targets-288mw-data-campus-in-tasmania/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,Switch buys another site outside Las Vegas,,https://www.datacenterdynamics.com/en/news/en/news/switch-buys-another-site-outside-las-vegas/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,Homeland Security signs $2.6bn contract with AWS,,https://www.datacenterdynamics.com/en/news/en/news/homeland-security-signs-26bn-contract-with-aws/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,Vocus quadruples capacity on Adelaide-Perth 2 (AP2) route,,https://www.datacenterdynamics.com/en/news/en/news/vocus-quadruples-capacity-on-adelaide-perth-2-ap2-route/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,"Firstcolo breaks ground on data center in Rosbach vor der Höhe, Germany",,https://www.datacenterdynamics.com/en/news/en/news/firstcolo-breaks-ground-on-data-center-in-rosbach-vor-der-h%C3%B6he-germany/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,Google unveils new open-source liquid-to-air cooling sidecar for air-cooled environments,,https://www.datacenterdynamics.com/en/news/en/news/google-unveils-new-open-source-liquid-to-air-cooling-sidecar-for-air-cooled-environments/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,MarketWatch Perspectives from our partners,,https://www.datacenterdynamics.com/en/news/en/marketwatch/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,Whitepapers & Reports Authoritative sector reports,,https://www.datacenterdynamics.com/en/news/en/whitepapers/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,Broadcasts Upcoming and on-demand,,https://www.datacenterdynamics.com/en/news/en/dcd-broadcasts/,DataCenterDynamics,"datacenter,infrastructure",
2026-06-18,DCD Magazine #61 - Life and death on a tower,,https://www.datacenterdynamics.com/en/news/en/magazines/dcd-magazine-61-life-and-death-on-a-tower/,DataCenterDynamics,"datacenter,infrastructure",
